estado	municipio	recomendacion
Estado de México	Ecatepec de Morelos	En el municipio de Ecatepec de Morelos del estado de Estado de México, se ha identificado un caso particular de secuestro de tipo 'Secuestro extorsivo', realizado mediante 'fuerza', perpetrado por 'complicidad' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Coahuila	Zaragoza	En el municipio de Zaragoza del estado de Coahuila, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'emboscada', perpetrado por 'persona común' en el lugar 'vía pública'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Nuevo León	Monterrey	En el municipio de Monterrey del estado de Nuevo León, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'fuerza', perpetrado por 'complicidad' en el lugar 'vía pública'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Michoacán	Zamora	En el municipio de Zamora del estado de Michoacán, se ha identificado un caso particular de secuestro de tipo 'Secuestro extorsivo', realizado mediante 'intimidacion', perpetrado por 'suplantación de identidad' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Morelos	Cuernavaca	En el municipio de Cuernavaca del estado de Morelos, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'emboscada', perpetrado por 'cartel' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Estado de México	Toluca	En el municipio de Toluca del estado de Estado de México, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'tecnologica', perpetrado por 'complicidad' en el lugar 'transporte'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Michoacán	Madero	En el municipio de Madero del estado de Michoacán, se ha identificado un caso particular de secuestro de tipo 'Secuestro con fines de explotación sexual', realizado mediante 'fuerza', perpetrado por 'complicidad' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Ciudad de México	Tlalpan	En el municipio de Tlalpan del estado de Ciudad de México, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'tecnologica', perpetrado por 'complicidad' en el lugar 'vía pública'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Michoacán	Madero	En el municipio de Madero del estado de Michoacán, se ha identificado un caso particular de secuestro de tipo 'Secuestro extorsivo', realizado mediante 'intimidacion', perpetrado por 'complicidad' en el lugar 'vía pública'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Ciudad de México	Tlalpan	En el municipio de Tlalpan del estado de Ciudad de México, se ha identificado un caso particular de secuestro de tipo 'Secuestro general', realizado mediante 'tecnologica', perpetrado por 'cartel' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
Morelos	Cuernavaca	En el municipio de Cuernavaca del estado de Morelos, se ha identificado un caso particular de secuestro de tipo 'Secuestro extorsivo', realizado mediante 'tecnologica', perpetrado por 'complicidad' en el lugar 'casa'. Se recomienda investigar este caso en detalle y considerar medidas específicas.
